wkno,date,value1,value2,bool
1,01/01/2025,10,1.5,TRUE
2,02/01025,20,2.5,FALSE
3,02/01/2025,30,3.5,TRUE
4,02/01026,40,4.5,FALSE
5,03/01/2025,50,5.5,TRUE
6,02/01027,60,6.5,FALSE
7,04/01/2025,70,7.5,TRUE
8,02/01028,80,8.5,FALSE
9,05/01/2025,90,9.5,TRUE
10,02/01029,100,10.5,FALSE
11,06/01/2025,110,11.5,TRUE
12,02/01030,120,12.5,FALSE
13,07/01/2025,130,13.5,TRUE
14,02/01031,140,14.5,FALSE
15,08/01/2025,150,15.5,TRUE
16,02/01032,160,16.5,FALSE
17,09/01/2025,170,17.5,TRUE
18,02/01033,180,18.5,FALSE
19,10/01/2025,190,19.5,TRUE
20,02/01034,200,20.5,FALSE
21,11/01/2025,210,21.5,TRUE
22,02/01035,220,22.5,FALSE
23,12/01/2025,230,23.5,TRUE
24,02/01036,240,24.5,FALSE
25,13/01/2025,250,25.5,TRUE
26,02/01037,260,26.5,FALSE
27,14/01/2025,270,27.5,TRUE
28,02/01038,280,28.5,FALSE
29,15/01/2025,290,29.5,TRUE
30,02/01039,300,30.5,FALSE
31,16/01/2025,310,31.5,TRUE
32,02/01040,320,32.5,FALSE
33,17/01/2025,330,33.5,TRUE
34,02/01041,340,34.5,FALSE
35,18/01/2025,350,35.5,TRUE
36,02/01042,360,36.5,FALSE
37,19/01/2025,370,37.5,TRUE
38,02/01043,380,38.5,FALSE
39,20/01/2025,390,39.5,TRUE
40,02/01044,400,40.5,FALSE
41,21/01/2025,410,41.5,TRUE
42,02/01045,420,42.5,FALSE
43,22/01/2025,430,43.5,TRUE
44,02/01046,440,44.5,FALSE
45,23/01/2025,450,45.5,TRUE
46,02/01047,460,46.5,FALSE
47,24/01/2025,470,47.5,TRUE
48,02/01048,480,48.5,FALSE
49,25/01/2025,490,49.5,TRUE
50,02/01049,500,50.5,FALSE
51,26/01/2025,510,51.5,TRUE
52,02/01050,520,52.5,FALSE
53,27/01/2025,530,53.5,TRUE
54,02/01051,540,54.5,FALSE
55,28/01/2025,550,55.5,TRUE
56,02/01052,560,56.5,FALSE
57,29/01/2025,570,57.5,TRUE
58,02/01053,580,58.5,FALSE
59,30/01/2025,590,59.5,TRUE
60,02/01054,600,60.5,FALSE
61,31/01/2025,610,61.5,TRUE
62,02/01055,620,62.5,FALSE
63,01/02/2025,630,63.5,TRUE
64,02/01056,640,64.5,FALSE
65,02/02/2025,650,65.5,TRUE
66,02/01057,660,66.5,FALSE
67,03/02/2025,670,67.5,TRUE
68,02/01058,680,68.5,FALSE
69,04/02/2025,690,69.5,TRUE
70,02/01059,700,70.5,FALSE
71,05/02/2025,710,71.5,TRUE
72,02/01060,720,72.5,FALSE
73,06/02/2025,730,73.5,TRUE
74,02/01061,740,74.5,FALSE
75,07/02/2025,750,75.5,TRUE
76,02/01062,760,76.5,FALSE
77,08/02/2025,770,77.5,TRUE
78,02/01063,780,78.5,FALSE
 ,09/02/2025,790,*,TRUE
80,02/01064,800,80.5,FALSE
81,10/02/2025, ,81.5,TRUE
82,02/01065,820,82.5,FALSE
83,11/02/2025,830,*,TRUE
84,02/01066,840,84.5,FALSE
85, ,850,85.5,TRUE
86,02/01067,860,86.5,FALSE
87,13/02/2025,870,87.5,TRUE
88,02/01068,880,88.5,FALSE
89, ,890,*,TRUE
90,02/01069,900,90.5,FALSE
91,15/02/2025,910,91.5,TRUE
92,02/01070,920,92.5,FALSE
93,16/02/2025,930,93.5,TRUE
94,02/01071,940,94.5,FALSE
95,17/02/2025,950,95.5,TRUE
96,02/01072,960,96.5,FALSE
97,18/02/2025,970,97.5,TRUE
98,02/01073,980,98.5,FALSE
99,19/02/2025,990,99.5,TRUE
100,02/01074,1000,100.5,FALSE
